,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel,city_list
0,2021-01-01,15℃,5℃,晴,东北风,3级,33,优,1,广州
1,2021-01-02,19℃,7℃,晴,东北风,2级,52,良,2,广州
2,2021-01-03,20℃,10℃,晴~多云,东北风,2级,73,良,2,广州
3,2021-01-04,21℃,15℃,阴~多云,北风,2级,61,良,2,广州
4,2021-01-05,23℃,11℃,阴~多云,北风,3级,69,良,2,广州
5,2021-01-06,20℃,8℃,多云~阴,北风,3级,78,良,2,广州
6,2021-01-07,13℃,5℃,阴~多云,东北风,4级,67,良,2,广州
7,2021-01-08,7℃,5℃,阴~多云,东北风,4级,50,优,1,广州
8,2021-01-09,11℃,7℃,多云,东北风,3级,35,优,1,广州
9,2021-01-10,12℃,7℃,阴,东北风,3级,47,优,1,广州
10,2021-01-11,7℃,4℃,小雨~晴,北风,4级,51,良,2,广州
11,2021-01-12,16℃,4℃,晴,北风,3级,61,良,2,广州
12,2021-01-13,19℃,7℃,多云,东北风,2级,78,良,2,广州
13,2021-01-14,21℃,7℃,晴,东南风,1级,155,中度污染,4,广州
14,2021-01-15,22℃,11℃,多云,东南风,1级,176,中度污染,4,广州
15,2021-01-16,22℃,8℃,多云~阴,东北风,1级,236,重度污染,5,广州
16,2021-01-17,18℃,6℃,阴~晴,北风,4级,93,良,2,广州
17,2021-01-18,20℃,6℃,晴,北风,微风,82,良,2,广州
18,2021-01-19,21℃,12℃,晴~多云,东风,2级,92,良,2,广州
19,2021-01-20,22℃,15℃,阴~多云,东北风,1级,108,轻度污染,3,广州
20,2021-01-21,22℃,16℃,阴,西北风,微风,104,轻度污染,3,广州
21,2021-01-22,23℃,15℃,小雨~晴,北风,微风,38,优,1,广州
22,2021-01-23,25℃,14℃,晴~多云,北风,2级,68,良,2,广州
23,2021-01-24,23℃,14℃,多云,东南风,微风,71,良,2,广州
24,2021-01-25,26℃,14℃,阴~多云,东南风,2级,58,良,2,广州
25,2021-01-26,25℃,13℃,多云,北风,2级,71,良,2,广州
26,2021-01-27,24℃,14℃,多云,东北风,2级,62,良,2,广州
27,2021-01-28,20℃,11℃,多云~晴,北风,3级,64,良,2,广州
28,2021-01-29,21℃,10℃,晴,东北风,2级,41,优,1,广州
29,2021-01-30,23℃,12℃,晴,东南风,2级,74,良,2,广州
30,2021-01-31,25℃,14℃,晴~多云,东南风,2级,72,良,2,广州
31,2021-02-01,27℃,15℃,多云,东南风,2级,64,良,2,广州
32,2021-02-02,26℃,15℃,晴,东南风,2级,56,良,2,广州
33,2021-02-03,25℃,13℃,晴,东南风,2级,57,良,2,广州
34,2021-02-04,27℃,14℃,晴,东南风,2级,70,良,2,广州
35,2021-02-05,27℃,15℃,晴,东南风,2级,53,良,2,广州
36,2021-02-06,28℃,15℃,晴,东南风,微风,63,良,2,广州
37,2021-02-07,28℃,16℃,晴,东南风,2级,69,良,2,广州
38,2021-02-08,27℃,15℃,多云~小雨,东风,2级,52,良,2,广州
39,2021-02-09,21℃,13℃,小雨~大雨,东北风,微风,43,优,1,广州
40,2021-02-10,15℃,13℃,大雨~多云,北风,3级,16,优,1,广州
41,2021-02-11,19℃,12℃,多云,北风,3级,16,优,1,广州
42,2021-02-12,23℃,14℃,多云,北风,微风,42,优,1,广州
43,2021-02-13,25℃,13℃,多云,北风,2级,37,优,1,广州
44,2021-02-14,26℃,14℃,晴,西北风,微风,62,良,2,广州
45,2021-02-15,28℃,15℃,晴,东南风,2级,58,良,2,广州
46,2021-02-16,26℃,14℃,多云,东南风,2级,42,优,1,广州
47,2021-02-17,24℃,13℃,多云~晴,东北风,微风,33,优,1,广州
48,2021-02-18,24℃,11℃,晴,东北风,3级,35,优,1,广州
49,2021-02-19,25℃,13℃,晴,东北风,微风,59,良,2,广州
50,2021-02-20,26℃,15℃,晴,南风,2级,66,良,2,广州
51,2021-02-21,26℃,16℃,多云~晴,东南风,微风,61,良,2,广州
52,2021-02-22,27℃,17℃,多云,东南风,2级,65,良,2,广州
53,2021-02-23,29℃,18℃,多云~晴,东南风,2级,69,良,2,广州
54,2021-02-24,25℃,19℃,晴~小雨,东南风,3级,43,优,1,广州
55,2021-02-25,24℃,16℃,阴~小雨,东南风,3级,39,优,1,广州
56,2021-02-26,22℃,14℃,小雨,北风,3级,37,优,1,广州
57,2021-02-27,17℃,15℃,阴~多云,东北风,3级,27,优,1,广州
58,2021-02-28,21℃,17℃,阴~多云,东南风,2级,46,优,1,广州
59,2021-03-01,25℃,14℃,阴~小雨,东南风,2级,69,良,2,广州
60,2021-03-02,20℃,15℃,多云,北风,微风,20,优,1,广州
61,2021-03-03,20℃,17℃,阴,东北风,2级,40,优,1,广州
62,2021-03-04,19℃,13℃,小雨~阵雨,东北风,2级,58,良,2,广州
63,2021-03-05,21℃,17℃,小雨,东南风,2级,61,良,2,广州
64,2021-03-06,22℃,15℃,大雨~阵雨,东南风,2级,43,优,1,广州
