,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel,city_list
0,2017-01-01,24℃,15℃,多云,无持续风向,微风,103,轻度污染,3,广州
1,2017-01-02,26℃,16℃,多云,无持续风向,微风,120,轻度污染,3,广州
2,2017-01-03,26℃,16℃,多云,无持续风向,微风,125,轻度污染,3,广州
3,2017-01-04,27℃,16℃,多云,无持续风向,微风,111,轻度污染,3,广州
4,2017-01-05,26℃,18℃,多云,无持续风向,微风,192,中度污染,4,广州
5,2017-01-06,26℃,18℃,多云,无持续风向,微风,129,轻度污染,3,广州
6,2017-01-07,25℃,17℃,阴,无持续风向,微风,88,良,2,广州
7,2017-01-08,23℃,15℃,多云,无持续风向,微风,91,良,2,广州
8,2017-01-09,23℃,14℃,多云,无持续风向,微风,54,良,2,广州
9,2017-01-10,24℃,15℃,多云,无持续风向,微风,83,良,2,广州
10,2017-01-11,20℃,14℃,小雨,无持续风向,微风,89,良,2,广州
11,2017-01-12,15℃,11℃,小雨,北风,3-4级,54,良,2,广州
12,2017-01-13,13℃,10℃,小雨,无持续风向,微风,21,优,1,广州
13,2017-01-14,14℃,11℃,小雨,无持续风向,微风,31,优,1,广州
14,2017-01-15,14℃,11℃,小雨,无持续风向,微风,37,优,1,广州
15,2017-01-16,16℃,12℃,小雨,无持续风向,微风,42,优,1,广州
16,2017-01-17,16℃,13℃,小雨,无持续风向,微风,44,优,1,广州
17,2017-01-18,18℃,15℃,小雨,无持续风向,微风,55,良,2,广州
18,2017-01-19,21℃,12℃,小雨~阴,无持续风向,微风,53,良,2,广州
19,2017-01-20,19℃,9℃,多云~晴,北风,3-4级,32,优,1,广州
20,2017-01-21,18℃,8℃,多云,无持续风向,微风,76,良,2,广州
21,2017-01-22,19℃,9℃,多云,无持续风向,微风,63,良,2,广州
22,2017-01-23,21℃,12℃,多云,无持续风向,微风,66,良,2,广州
23,2017-01-24,19℃,11℃,多云,无持续风向,微风,76,良,2,广州
24,2017-01-25,21℃,11℃,多云,无持续风向,微风,78,良,2,广州
25,2017-01-26,22℃,12℃,晴,无持续风向,微风,74,良,2,广州
26,2017-01-27,24℃,12℃,多云,无持续风向,微风,70,良,2,广州
27,2017-01-28,24℃,13℃,多云~小雨,无持续风向,微风,112,轻度污染,3,广州
28,2017-01-29,22℃,15℃,小雨,无持续风向,微风,54,良,2,广州
29,2017-01-30,20℃,12℃,阴,北风,3-4级,43,优,1,广州
30,2017-01-31,19℃,12℃,多云,无持续风向,微风,49,优,1,广州
31,2017-02-01,22℃,13℃,多云,无持续风向,微风,33,优,1,广州
32,2017-02-02,22℃,13℃,多云,无持续风向,微风,43,优,1,广州
33,2017-02-03,21℃,15℃,小雨,无持续风向,微风,59,良,2,广州
34,2017-02-04,22℃,15℃,小雨,无持续风向,微风,75,良,2,广州
35,2017-02-05,25℃,14℃,多云,无持续风向,微风,59,良,2,广州
36,2017-02-06,25℃,16℃,多云,无持续风向,微风,53,良,2,广州
37,2017-02-07,20℃,14℃,小雨,无持续风向,微风,71,良,2,广州
38,2017-02-08,20℃,10℃,小雨,无持续风向,微风,51,良,2,广州
39,2017-02-09,14℃,7℃,多云,北风,5-6级,35,优,1,广州
40,2017-02-10,15℃,8℃,多云,无持续风向,微风,79,良,2,广州
41,2017-02-11,16℃,7℃,晴,无持续风向,微风,65,良,2,广州
42,2017-02-12,19℃,7℃,晴,无持续风向,微风,72,良,2,广州
43,2017-02-13,21℃,10℃,多云,无持续风向,微风,85,良,2,广州
44,2017-02-14,22℃,11℃,晴,无持续风向,微风,93,良,2,广州
45,2017-02-15,25℃,12℃,多云,无持续风向,微风,77,良,2,广州
46,2017-02-16,25℃,13℃,多云,无持续风向,微风,68,良,2,广州
47,2017-02-17,26℃,16℃,多云,无持续风向,微风,77,良,2,广州
48,2017-02-18,28℃,16℃,多云,无持续风向,微风,107,轻度污染,3,广州
49,2017-02-19,26℃,17℃,多云~阴,南风,3-4级,83,良,2,广州
50,2017-02-20,25℃,18℃,多云,无持续风向,微风,82,良,2,广州
51,2017-02-21,26℃,18℃,小雨~小到中雨,东南风,4-5级,54,良,2,广州
52,2017-02-22,26℃,15℃,小到中雨~小雨,无持续风向,微风,57,良,2,广州
53,2017-02-23,12℃,9℃,小雨,北风,3-4级,35,优,1,广州
54,2017-02-24,11℃,9℃,小雨,无持续风向,微风,34,优,1,广州
55,2017-02-25,11℃,9℃,小雨,无持续风向,微风,24,优,1,广州
56,2017-02-26,14℃,11℃,小雨~多云,无持续风向,微风,44,优,1,广州
57,2017-02-27,18℃,13℃,多云,无持续风向,微风,65,良,2,广州
58,2017-02-28,21℃,15℃,阴,无持续风向,微风,95,良,2,广州
59,2017-03-01,21℃,12℃,小雨~多云,无持续风向,微风,74,良,2,广州
60,2017-03-02,22℃,10℃,多云,无持续风向,微风,66,良,2,广州
61,2017-03-03,23℃,12℃,晴~多云,无持续风向,微风,89,良,2,广州
62,2017-03-04,24℃,17℃,多云,无持续风向,微风,87,良,2,广州
63,2017-03-05,25℃,16℃,小雨,无持续风向,微风,77,良,2,广州
64,2017-03-06,21℃,16℃,小雨,无持续风向,微风,46,优,1,广州
65,2017-03-07,18℃,14℃,小雨,无持续风向,微风,42,优,1,广州
66,2017-03-08,18℃,14℃,小雨,无持续风向,微风,47,优,1,广州
67,2017-03-09,19℃,16℃,小雨~小到中雨,无持续风向,微风,64,良,2,广州
68,2017-03-10,22℃,18℃,雾,无持续风向,微风,65,良,2,广州
69,2017-03-11,21℃,18℃,小雨,无持续风向,微风,49,优,1,广州
70,2017-03-12,23℃,17℃,小雨~雾,南风,3-4级,82,良,2,广州
71,2017-03-13,26℃,14℃,小雨,无持续风向,微风,85,良,2,广州
72,2017-03-14,19℃,14℃,小雨,北风,3-4级,41,优,1,广州
73,2017-03-15,18℃,15℃,阴~小雨,无持续风向,微风,48,优,1,广州
74,2017-03-16,19℃,16℃,小雨,无持续风向,微风,72,良,2,广州
75,2017-03-17,21℃,18℃,小雨,无持续风向,微风,66,良,2,广州
76,2017-03-18,21℃,17℃,小到中雨,无持续风向,微风,85,良,2,广州
77,2017-03-19,23℃,19℃,大雨~小雨,无持续风向,微风,51,良,2,广州
78,2017-03-20,24℃,19℃,小雨,无持续风向,微风,64,良,2,广州
79,2017-03-21,24℃,18℃,小到中雨,无持续风向,微风,69,良,2,广州
80,2017-03-22,24℃,20℃,中雨~小雨,无持续风向,微风,54,良,2,广州
81,2017-03-23,24℃,20℃,小雨,无持续风向,微风,61,良,2,广州
82,2017-03-24,25℃,16℃,阵雨~小雨,无持续风向,微风,60,良,2,广州
83,2017-03-25,16℃,13℃,小雨,北风,3-4级,30,优,1,广州
84,2017-03-26,15℃,9℃,小雨,无持续风向,微风,44,优,1,广州
85,2017-03-27,23℃,15℃,多云~阴,无持续风向,微风,67,良,2,广州
86,2017-03-28,25℃,17℃,小雨~小到中雨,无持续风向,微风,79,良,2,广州
87,2017-03-29,26℃,19℃,小雨~阵雨,无持续风向,微风,73,良,2,广州
88,2017-03-30,25℃,21℃,小雨,无持续风向,微风,68,良,2,广州
89,2017-03-31,23℃,16℃,中雨~小到中雨,北风,3-4级,38,优,1,广州
90,2017-04-01,23℃,14℃,晴,无持续风向,微风,40,优,1,广州
91,2017-04-02,25℃,14℃,多云,无持续风向,微风,59,良,2,广州
92,2017-04-03,25℃,16℃,多云,无持续风向,微风,78,良,2,广州
93,2017-04-04,27℃,18℃,多云,无持续风向,微风,59,良,2,广州
94,2017-04-05,27℃,20℃,多云,无持续风向,微风,57,良,2,广州
95,2017-04-06,26℃,21℃,多云,无持续风向,微风,65,良,2,广州
96,2017-04-07,28℃,21℃,多云~小雨,无持续风向,微风,66,良,2,广州
97,2017-04-08,29℃,23℃,小雨,无持续风向,微风,52,良,2,广州
98,2017-04-09,30℃,24℃,阴,无持续风向,微风,43,优,1,广州
99,2017-04-10,30℃,18℃,小雨,南风,4-5级,48,优,1,广州
100,2017-04-11,23℃,16℃,小雨,无持续风向,微风,53,良,2,广州
101,2017-04-12,20℃,17℃,中到大雨~中雨,无持续风向,微风,29,优,1,广州
102,2017-04-13,22℃,17℃,阴,无持续风向,微风,41,优,1,广州
103,2017-04-14,24℃,20℃,阴~多云,无持续风向,微风,73,良,2,广州
104,2017-04-15,28℃,22℃,小雨,无持续风向,微风,69,良,2,广州
105,2017-04-16,29℃,23℃,多云~阴,南风,3-4级,60,良,2,广州
106,2017-04-17,30℃,24℃,多云~阴,无持续风向,微风,60,良,2,广州
107,2017-04-18,31℃,23℃,阴,无持续风向,微风,62,良,2,广州
108,2017-04-19,30℃,23℃,小到中雨~小雨,无持续风向,微风,64,良,2,广州
109,2017-04-20,29℃,23℃,小雨~阵雨,无持续风向,微风,47,优,1,广州
110,2017-04-21,25℃,17℃,小到中雨~中雨,无持续风向,微风,43,优,1,广州
111,2017-04-22,22℃,16℃,多云,无持续风向,微风,48,优,1,广州
112,2017-04-23,24℃,19℃,小雨,无持续风向,微风,60,良,2,广州
113,2017-04-24,25℃,20℃,中雨,无持续风向,微风,74,良,2,广州
114,2017-04-25,25℃,22℃,大到暴雨~大雨,无持续风向,微风,74,良,2,广州
115,2017-04-26,25℃,20℃,中到大雨~小雨,无持续风向,微风,56,良,2,广州
116,2017-04-27,23℃,18℃,阴~多云,北风,3-4级,26,优,1,广州
117,2017-04-28,25℃,17℃,多云,无持续风向,微风,56,良,2,广州
118,2017-04-29,28℃,19℃,多云,无持续风向,微风,103,轻度污染,3,广州
119,2017-04-30,29℃,21℃,多云,无持续风向,微风,83,良,2,广州
120,2017-05-01,30℃,23℃,多云,东南风,3-4级,56,良,2,广州
121,2017-05-02,30℃,24℃,小雨,无持续风向,微风,50,优,1,广州
122,2017-05-03,30℃,23℃,小雨,南风,3-4级,40,优,1,广州
123,2017-05-04,28℃,21℃,大到暴雨~阴,无持续风向,微风,42,优,1,广州
124,2017-05-05,28℃,22℃,多云~阴,无持续风向,微风,56,良,2,广州
125,2017-05-06,30℃,23℃,阵雨,无持续风向,微风,77,良,2,广州
126,2017-05-07,28℃,23℃,小雨~小到中雨,无持续风向,微风,60,良,2,广州
127,2017-05-08,29℃,22℃,中雨,无持续风向,微风,49,优,1,广州
128,2017-05-09,29℃,24℃,阴,无持续风向,微风,42,优,1,广州
129,2017-05-10,30℃,24℃,小雨,无持续风向,微风,116,轻度污染,3,广州
130,2017-05-11,31℃,24℃,多云,无持续风向,微风,101,轻度污染,3,广州
